Nest Box,Radial Zone,NLCD Year,Developed m2,Development P,Development %,Natural m2,Natural P,Natural %,Agriculture m2,Agriculture P,Agriculture %,Other m2,Other P,Other %,Total m2,Study Year,Occupancy,Success
114,725,2001,0,0,0,722700,0.438558165,43.86,66600,0.040415074,4.04,858600,0.521026761,52.1,1647900,2002,.,.
114.1,725,2001,0,0,0,705600,0.426550598,42.66,65700,0.039717084,3.97,882900,0.533732318,53.37,1654200,2002,.,.
114.2,725,2001,0,0,0,639000,0.387131952,38.71,29700,0.017993457,1.8,981900,0.594874591,59.49,1650600,2002,.,.
115,725,2001,7200,0.004369197,0.44,1031400,0.625887493,62.59,51300,0.03113053,3.11,558000,0.33861278,33.86,1647900,2002,.,.
116,725,2001,0,0,0,1179900,0.725511898,72.55,7200,0.004427227,0.44,439200,0.270060874,27.01,1626300,2002,.,.
117,725,2001,900,0.00054615,0.05,818100,0.496450027,49.65,60300,0.036592026,3.66,768600,0.466411797,46.64,1647900,2002,.,.
118,725,2001,1800,0.001093494,0.11,1046700,0.635866594,63.59,237600,0.14434117,14.43,360000,0.218698742,21.87,1646100,2002,.,.
119,725,2001,0,0,0,1096200,0.664122137,66.41,275400,0.166848419,16.68,279000,0.169029444,16.9,1650600,2002,.,.
120,725,2001,900,0.000544959,0.05,1124100,0.680653951,68.07,324900,0.196730245,19.67,201600,0.122070845,12.21,1651500,2002,.,.
121,725,2001,3600,0.002252252,0.23,534600,0.334459459,33.45,4500,0.002815315,0.28,1055700,0.660472973,66.05,1598400,2002,.,.
121.1,725,2001,0,0,0,859500,0.520719738,52.07,43200,0.026172301,2.62,747900,0.453107961,45.31,1650600,2002,.,.
122,725,2001,3600,0.002270148,0.23,750600,0.473325766,47.33,4500,0.002837684,0.28,827100,0.521566402,52.16,1585800,2002,.,.
122.1,725,2001,0,0,0,628200,0.384785006,38.48,25200,0.015435502,1.54,979200,0.599779493,59.98,1632600,2002,.,.
123,725,2001,3600,0.002275313,0.23,756900,0.478384528,47.84,4500,0.002844141,0.28,817200,0.516496018,51.65,1582200,2002,.,.
123.1,725,2001,5400,0.003271538,0.33,531900,0.322246456,32.22,142200,0.086150491,8.62,971100,0.588331516,58.83,1650600,2002,.,.
124,725,2001,0,0,0,1267200,0.767302452,76.73,24300,0.014713896,1.47,360000,0.217983651,21.8,1651500,2002,.,.
125,725,2001,0,0,0,817200,0.495362793,49.54,98100,0.059465357,5.95,734400,0.445171849,44.52,1649700,2002,.,.
126,725,2001,2700,0.001636661,0.16,574200,0.348063284,34.81,69300,0.042007638,4.2,1003500,0.608292417,60.83,1649700,2002,.,.
127,725,2001,3600,0.002182215,0.22,900900,0.546099291,54.61,42300,0.025641026,2.56,702900,0.426077469,42.61,1649700,2002,.,.
128,725,2001,0,0,0,1009800,0.611444142,61.14,63900,0.038692098,3.87,577800,0.34986376,34.99,1651500,2002,.,.
129,725,2001,0,0,0,1211400,0.73431533,73.43,198000,0.120021822,12,240300,0.145662848,14.57,1649700,2002,.,.
129.1,725,2001,0,0,0,1271700,0.769188895,76.92,186300,0.112683723,11.27,195300,0.118127382,11.81,1653300,2002,.,.
130,725,2001,0,0,0,1197000,0.724400871,72.44,279900,0.169389978,16.94,175500,0.10620915,10.62,1652400,2002,.,.
130.1,725,2001,900,0.000545256,0.05,247500,0.149945474,14.99,0,0,0,1402200,0.849509269,84.95,1650600,2002,.,.
